Cavity #129      
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	8.8356e9 	7256.8           	487050.	1   	0.                
   lr(2) =       	2.5514e9 	81550.99999999999	6508.9 	1   	0.                
   lr(3) =       	8.8356e9 	7270.            	188170.	1   	0.                
   lr(4) =       	1.7038e9 	51161.           	1690.9 	1   	0.                
   lr(5) =       	1.7379e9 	45115.99999999999	1757.4 	1   	0.                
   lr(6) =       	3.0744e9 	3879.4           	33706. 	1   	0.                
   lr(7) =       	1.8706e9 	39999.           	1421.9 	1   	0.                
   lr(8) =       	1.8561e9 	26427.           	1519.1 	1   	0.                
   lr(9) =       	1.8718e9 	42438.           	868.77 	1   	0.                
   lr(10) =      	1.8725e9 	40692.00000000001	727.88 	1   	0.                
/                
