Cavity #79       
                 	Frequency	R/Q               	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5514e9 	77159.            	6218.1 	1   	0.                
   lr(2) =       	3.0689e9 	1385.1            	343050.	1   	0.                
   lr(3) =       	3.0746e9 	3929.3            	85466. 	1   	0.                
   lr(4) =       	2.525e9  	58944.            	3730.2 	1   	0.                
   lr(5) =       	1.7034e9 	51067.            	1616.9 	1   	0.                
   lr(6) =       	1.7379e9 	43954.00000000001 	1856.8 	1   	0.                
   lr(7) =       	1.8702e9 	39550.            	1625.3 	1   	0.                
   lr(8) =       	1.8555e9 	26535.000000000004	1560.9 	1   	0.                
   lr(9) =       	1.871e9  	43525.            	810.68 	1   	0.                
   lr(10) =      	1.872e9  	40134.99999999999 	623.92 	1   	0.                
/                
