Cavity #92       
                 	Frequency	R/Q              	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5532e9 	76394.           	8788.2	1   	0.                
   lr(2) =       	3.0754e9 	3774.4           	41823.	1   	0.                
   lr(3) =       	1.7037e9 	50765.           	1695.4	1   	0.                
   lr(4) =       	1.7376e9 	46064.99999999999	1838.9	1   	0.                
   lr(5) =       	1.8707e9 	39062.           	1407.4	1   	0.                
   lr(6) =       	1.8557e9 	26436.           	1431.7	1   	0.                
   lr(7) =       	1.8718e9 	41684.           	871.  	1   	0.                
   lr(8) =       	1.8726e9 	40092.           	734.95	1   	0.                
   lr(9) =       	1.7904e9 	9980.8           	878.91	1   	0.                
   lr(10) =      	1.676e9  	10116.           	770.08	1   	0.                
/                
