Cavity #104      
                 	Frequency	R/Q               	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5531e9 	79529.            	8532.9 	1   	0.                
   lr(2) =       	3.0756e9 	3953.1            	199720.	1   	0.                
   lr(3) =       	3.0703e9 	1245.6000000000001	308520.	1   	0.                
   lr(4) =       	8.8338e9 	6312.5            	81570. 	1   	0.                
   lr(5) =       	1.7047e9 	52173.            	1726.2 	1   	0.                
   lr(6) =       	1.7383e9 	43768.            	1837.3 	1   	0.                
   lr(7) =       	1.8708e9 	39763.            	1475.8 	1   	0.                
   lr(8) =       	1.8558e9 	27170.            	1555.5 	1   	0.                
   lr(9) =       	1.8718e9 	42558.            	906.68 	1   	0.                
   lr(10) =      	1.8727e9 	38579.            	664.01 	1   	0.                
/                
