Cavity #2        
                 	Frequency	R/Q              	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5539e9 	75397.           	10069.	1   	0.                
   lr(2) =       	3.0754e9 	3872.9           	51398.	1   	0.                
   lr(3) =       	1.7038e9 	51195.00000000001	1751.8	1   	0.                
   lr(4) =       	1.7375e9 	45867.00000000001	1828.7	1   	0.                
   lr(5) =       	8.8426e9 	7220.            	45350.	1   	0.                
   lr(6) =       	1.8699e9 	38927.           	1386. 	1   	0.                
   lr(7) =       	1.8559e9 	25996.           	1347. 	1   	0.                
   lr(8) =       	1.871e9  	41956.           	835.33	1   	0.                
   lr(9) =       	1.8719e9 	39959.           	702.65	1   	0.                
   lr(10) =      	1.6753e9 	10256.           	789.61	1   	0.                
/                
