Cavity #42       
                 	Frequency	R/Q       	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0756e9 	4042.     	1.2897e6	1   	0.                
   lr(2) =       	2.5507e9 	77857.    	8734.7  	1   	0.                
   lr(3) =       	8.8322e9 	6279.5    	235250. 	1   	0.                
   lr(4) =       	1.7038e9 	50936.    	1605.6  	1   	0.                
   lr(5) =       	1.7369e9 	43632.    	1759.6  	1   	0.                
   lr(6) =       	1.8696e9 	38959.    	1600.7  	1   	0.                
   lr(7) =       	1.8553e9 	25646.    	1473.8  	1   	0.                
   lr(8) =       	1.8704e9 	42678.    	831.12  	1   	0.                
   lr(9) =       	1.8714e9 	40264.    	680.58  	1   	0.                
   lr(10) =      	1.6763e9 	11655.    	767.15  	1   	0.                
/                
