Cavity #172      
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5516e9 	74975.           	10353. 	1   	0.                
   lr(2) =       	8.8306e9 	5951.999999999999	115420.	1   	0.                
   lr(3) =       	8.8306e9 	6338.3           	98238. 	1   	0.                
   lr(4) =       	1.7039e9 	50790.           	1595.6 	1   	0.                
   lr(5) =       	1.7371e9 	43644.99999999999	1870.2 	1   	0.                
   lr(6) =       	3.0735e9 	3619.6           	37177. 	1   	0.                
   lr(7) =       	1.87e9   	40493.           	1629.5 	1   	0.                
   lr(8) =       	1.8553e9 	26144.           	1585.5 	1   	0.                
   lr(9) =       	1.8711e9 	44465.           	722.06 	1   	0.                
   lr(10) =      	1.8719e9 	40064.           	538.65 	1   	0.                
/                
