Cavity #265      
                 	Frequency	R/Q       	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5518e9 	79024.    	7583.4 	1   	0.                
   lr(2) =       	3.0751e9 	3898.3    	150330.	1   	0.                
   lr(3) =       	3.0697e9 	1187.1    	486470.	1   	0.                
   lr(4) =       	8.8409e9 	6457.2    	197930.	1   	0.                
   lr(5) =       	1.7031e9 	51147.    	1703.4 	1   	0.                
   lr(6) =       	1.7372e9 	44685.    	1891.1 	1   	0.                
   lr(7) =       	1.8704e9 	38569.    	1408.1 	1   	0.                
   lr(8) =       	1.8559e9 	25966.    	1482.7 	1   	0.                
   lr(9) =       	1.8713e9 	41779.    	819.44 	1   	0.                
   lr(10) =      	1.8724e9 	39173.    	667.47 	1   	0.                
/                
