Cavity #216      
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	8.841e9  	5594.400000000001	523290.	1   	0.                
   lr(2) =       	2.5528e9 	79367.           	6738.1 	1   	0.                
   lr(3) =       	3.0768e9 	3706.9           	118010.	1   	0.                
   lr(4) =       	1.7048e9 	52341.           	1702.3 	1   	0.                
   lr(5) =       	8.841e9  	5839.            	78126. 	1   	0.                
   lr(6) =       	1.7388e9 	44420.           	1774.1 	1   	0.                
   lr(7) =       	1.8709e9 	38731.           	1628.3 	1   	0.                
   lr(8) =       	1.8559e9 	27214.           	1691.6 	1   	0.                
   lr(9) =       	1.8718e9 	40848.00000000001	1095.2 	1   	0.                
   lr(10) =      	1.8726e9 	37319.           	739.72 	1   	0.                
/                
