Cavity #272      
                 	Frequency	R/Q       	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5526e9 	76107.    	8628.3	1   	0.                
   lr(2) =       	3.0757e9 	3882.3    	78510.	1   	0.                
   lr(3) =       	5.6129e9 	3662.1    	76547.	1   	0.                
   lr(4) =       	1.7042e9 	50304.    	1568.4	1   	0.                
   lr(5) =       	1.7368e9 	44702.    	1788.6	1   	0.                
   lr(6) =       	1.87e9   	38604.    	1661. 	1   	0.                
   lr(7) =       	1.8555e9 	26217.    	1529.1	1   	0.                
   lr(8) =       	1.8709e9 	42534.    	772.08	1   	0.                
   lr(9) =       	1.8717e9 	40304.    	645.93	1   	0.                
   lr(10) =      	1.7899e9 	10107.    	939.51	1   	0.                
/                
