Cavity #1        
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	8.8345e9 	8005.2           	439340.	1   	0.                
   lr(2) =       	8.8345e9 	7907.8           	350650.	1   	0.                
   lr(3) =       	2.5512e9 	79593.           	6100.8 	1   	0.                
   lr(4) =       	3.0746e9 	4000.4           	75541. 	1   	0.                
   lr(5) =       	1.7036e9 	51173.           	1597.3 	1   	0.                
   lr(6) =       	1.7372e9 	43259.99999999999	1838.3 	1   	0.                
   lr(7) =       	1.87e9   	40076.           	1624.1 	1   	0.                
   lr(8) =       	1.8553e9 	26433.           	1574.7 	1   	0.                
   lr(9) =       	1.871e9  	43391.           	841.04 	1   	0.                
   lr(10) =      	1.8718e9 	39850.           	635.67 	1   	0.                
/                
