Cavity #89       
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5521e9 	78825.           	5810.3 	1   	0.                
   lr(2) =       	8.833e9  	6031.3           	201860.	1   	0.                
   lr(3) =       	8.8432e9 	5611.7           	125610.	1   	0.                
   lr(4) =       	3.0752e9 	4027.6           	51147. 	1   	0.                
   lr(5) =       	1.7379e9 	44598.00000000001	1840.  	1   	0.                
   lr(6) =       	1.7037e9 	50789.           	1570.4 	1   	0.                
   lr(7) =       	1.87e9   	39893.           	1635.1 	1   	0.                
   lr(8) =       	1.8562e9 	25540.           	1575.9 	1   	0.                
   lr(9) =       	1.871e9  	43416.           	794.43 	1   	0.                
   lr(10) =      	1.8718e9 	39991.           	623.93 	1   	0.                
/                
