Cavity #57       
                 	Frequency	R/Q               	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5526e9 	78829.            	8472.8 	1   	0.                
   lr(2) =       	8.8432e9 	9074.5            	138330.	1   	0.                
   lr(3) =       	8.8432e9 	9604.6            	85207. 	1   	0.                
   lr(4) =       	3.075e9  	3890.1000000000004	55235. 	1   	0.                
   lr(5) =       	1.7037e9 	51033.            	1674.8 	1   	0.                
   lr(6) =       	1.7378e9 	45577.            	1881.5 	1   	0.                
   lr(7) =       	1.8703e9 	39846.            	1463.6 	1   	0.                
   lr(8) =       	1.8561e9 	26051.000000000004	1468.6 	1   	0.                
   lr(9) =       	1.8714e9 	42916.99999999999 	840.97 	1   	0.                
   lr(10) =      	1.8723e9 	38872.            	623.22 	1   	0.                
/                
