Cavity #6        
                 	Frequency	R/Q       	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0762e9 	4028.6    	1.8774e6	1   	0.                
   lr(2) =       	2.5531e9 	77330.    	9703.4  	1   	0.                
   lr(3) =       	1.7039e9 	50559.    	1614.7  	1   	0.                
   lr(4) =       	1.7373e9 	45389.    	1776.   	1   	0.                
   lr(5) =       	1.8699e9 	37544.    	1540.1  	1   	0.                
   lr(6) =       	1.8555e9 	25726.    	1461.   	1   	0.                
   lr(7) =       	1.8707e9 	41441.    	795.81  	1   	0.                
   lr(8) =       	4.6775e9 	10146.    	6781.3  	1   	0.                
   lr(9) =       	1.8717e9 	39746.    	691.12  	1   	0.                
   lr(10) =      	1.6765e9 	10638.    	718.1   	1   	0.                
/                
