Cavity #122      
                 	Frequency	R/Q               	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0749e9 	3972.2000000000003	269260.	1   	0.                
   lr(2) =       	2.5508e9 	78643.            	6344.1 	1   	0.                
   lr(3) =       	8.8315e9 	7228.900000000001 	107430.	1   	0.                
   lr(4) =       	8.8399e9 	5195.9            	95774. 	1   	0.                
   lr(5) =       	1.7041e9 	51079.            	1606.4 	1   	0.                
   lr(6) =       	1.7378e9 	43925.            	1755.6 	1   	0.                
   lr(7) =       	1.8704e9 	39706.            	1563.1 	1   	0.                
   lr(8) =       	1.8556e9 	26022.            	1563.1 	1   	0.                
   lr(9) =       	1.8713e9 	43294.            	841.2  	1   	0.                
   lr(10) =      	1.8723e9 	40024.            	631.07 	1   	0.                
/                
