Cavity #96       
                 	Frequency	R/Q               	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5565e9 	74471.            	8230.8	1   	0.                
   lr(2) =       	3.0772e9 	3986.2            	82273.	1   	0.                
   lr(3) =       	1.7375e9 	46705.            	1936.3	1   	0.                
   lr(4) =       	1.7041e9 	50246.00000000001 	1598.6	1   	0.                
   lr(5) =       	1.8702e9 	37295.            	1512.2	1   	0.                
   lr(6) =       	1.8566e9 	25527.000000000004	1465.9	1   	0.                
   lr(7) =       	1.8711e9 	35309.            	1052.7	1   	0.                
   lr(8) =       	1.872e9  	39626.            	658.62	1   	0.                
   lr(9) =       	4.677e9  	12040.            	3965.5	1   	0.                
   lr(10) =      	1.7901e9 	10551.            	926.84	1   	0.                
/                
