Cavity #351      
                 	Frequency	R/Q               	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.552e9  	79104.            	7602.5	1   	0.                
   lr(2) =       	5.6085e9 	5982.1            	75754.	1   	0.                
   lr(3) =       	3.075e9  	4029.4999999999995	55081.	1   	0.                
   lr(4) =       	1.7035e9 	51513.            	1675.5	1   	0.                
   lr(5) =       	1.7381e9 	44986.            	1819.6	1   	0.                
   lr(6) =       	8.8366e9 	7640.900000000001 	44479.	1   	0.                
   lr(7) =       	1.87e9   	40319.            	1500.7	1   	0.                
   lr(8) =       	1.8559e9 	25812.            	1489. 	1   	0.                
   lr(9) =       	1.8711e9 	43328.            	855.28	1   	0.                
   lr(10) =      	1.8719e9 	39825.            	653.52	1   	0.                
/                
