Cavity #205      
                 	Frequency	R/Q               	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5529e9 	77449.            	10051. 	1   	0.                
   lr(2) =       	3.075e9  	3998.2000000000003	106340.	1   	0.                
   lr(3) =       	1.7375e9 	45331.            	1857.1 	1   	0.                
   lr(4) =       	1.7037e9 	50455.            	1570.1 	1   	0.                
   lr(5) =       	8.8418e9 	6063.2            	67304. 	1   	0.                
   lr(6) =       	1.8704e9 	39680.            	1635.7 	1   	0.                
   lr(7) =       	1.8555e9 	26481.            	1556.2 	1   	0.                
   lr(8) =       	1.8713e9 	43028.00000000001 	901.03 	1   	0.                
   lr(9) =       	4.6759e9 	9857.4            	7361.8 	1   	0.                
   lr(10) =      	1.8722e9 	37961.            	609.05 	1   	0.                
/                
