Cavity #213      
                 	Frequency	R/Q              	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	7.6393e9 	2290.7           	1.5976e6	1   	0.                
   lr(2) =       	3.0754e9 	3809.5           	366490. 	1   	0.                
   lr(3) =       	2.5516e9 	79175.           	7437.9  	1   	0.                
   lr(4) =       	8.8388e9 	7359.2           	143760. 	1   	0.                
   lr(5) =       	1.7038e9 	51253.           	1665.5  	1   	0.                
   lr(6) =       	1.7374e9 	43930.99999999999	1797.5  	1   	0.                
   lr(7) =       	1.8705e9 	38060.           	1546.6  	1   	0.                
   lr(8) =       	1.8553e9 	26845.           	1602.4  	1   	0.                
   lr(9) =       	1.8714e9 	41391.           	855.34  	1   	0.                
   lr(10) =      	1.8723e9 	39156.           	685.38  	1   	0.                
/                
