Cavity #136      
                 	Frequency	R/Q       	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5526e9 	78808.    	9570. 	1   	0.                
   lr(2) =       	3.0748e9 	4038.     	75613.	1   	0.                
   lr(3) =       	1.7048e9 	51445.    	1703.1	1   	0.                
   lr(4) =       	5.6124e9 	4520.4    	61601.	1   	0.                
   lr(5) =       	1.738e9  	44237.    	1874.5	1   	0.                
   lr(6) =       	1.8705e9 	40091.    	1551.6	1   	0.                
   lr(7) =       	1.8557e9 	26506.    	1484.7	1   	0.                
   lr(8) =       	1.8715e9 	43437.    	862.51	1   	0.                
   lr(9) =       	1.8724e9 	39693.    	634.24	1   	0.                
   lr(10) =      	1.6768e9 	11066.    	720.81	1   	0.                
/                
