Cavity #10       
                 	Frequency	R/Q       	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5534e9 	76210.    	7682.6	1   	0.                
   lr(2) =       	3.0765e9 	3805.4    	93549.	1   	0.                
   lr(3) =       	1.7042e9 	51268.    	1575.9	1   	0.                
   lr(4) =       	1.7374e9 	44200.    	1823.6	1   	0.                
   lr(5) =       	1.8702e9 	38446.    	1724.9	1   	0.                
   lr(6) =       	1.8554e9 	27416.    	1586.2	1   	0.                
   lr(7) =       	1.8711e9 	41423.    	954.71	1   	0.                
   lr(8) =       	1.8719e9 	38118.    	714.36	1   	0.                
   lr(9) =       	1.79e9   	10507.    	921.89	1   	0.                
   lr(10) =      	1.6775e9 	11618.    	722.95	1   	0.                
/                
