Cavity #30       
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5523e9 	78306.           	7430.9 	1   	0.                
   lr(2) =       	3.0754e9 	4012.1           	69832. 	1   	0.                
   lr(3) =       	8.8385e9 	6948.299999999999	105160.	1   	0.                
   lr(4) =       	5.6127e9 	3685.3           	86806. 	1   	0.                
   lr(5) =       	1.705e9  	51350.           	1599.6 	1   	0.                
   lr(6) =       	1.7381e9 	42887.00000000001	1849.1 	1   	0.                
   lr(7) =       	1.8704e9 	39433.           	1795.2 	1   	0.                
   lr(8) =       	1.8552e9 	27527.           	1594.5 	1   	0.                
   lr(9) =       	1.8712e9 	43557.           	819.65 	1   	0.                
   lr(10) =      	1.8721e9 	40256.99999999999	628.75 	1   	0.                
/                
