Cavity #80       
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0743e9 	4086.5           	616730.	1   	0.                
   lr(2) =       	2.5508e9 	80353.           	8175.2 	1   	0.                
   lr(3) =       	8.8395e9 	7014.599999999999	121330.	1   	0.                
   lr(4) =       	8.8338e9 	6911.000000000001	102850.	1   	0.                
   lr(5) =       	1.7031e9 	51034.           	1650.4 	1   	0.                
   lr(6) =       	1.7373e9 	44285.           	1795.2 	1   	0.                
   lr(7) =       	1.8699e9 	39554.           	1477.9 	1   	0.                
   lr(8) =       	1.8553e9 	25710.           	1466.  	1   	0.                
   lr(9) =       	1.8709e9 	42693.           	863.01 	1   	0.                
   lr(10) =      	1.8719e9 	39203.           	649.97 	1   	0.                
/                
