Cavity #256      
                 	Frequency	R/Q       	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5538e9 	79003.    	6950.8 	1   	0.                
   lr(2) =       	8.853e9  	4130.5    	366620.	1   	0.                
   lr(3) =       	8.853e9  	4338.9    	160060.	1   	0.                
   lr(4) =       	3.0767e9 	3956.5    	53811. 	1   	0.                
   lr(5) =       	1.7046e9 	52429.    	1745.4 	1   	0.                
   lr(6) =       	1.7399e9 	44951.    	1853.8 	1   	0.                
   lr(7) =       	1.8705e9 	38452.    	1543.8 	1   	0.                
   lr(8) =       	1.857e9  	25781.    	1558.  	1   	0.                
   lr(9) =       	1.8715e9 	41562.    	827.15 	1   	0.                
   lr(10) =      	1.8724e9 	39468.    	699.33 	1   	0.                
/                
