Cavity #63       
                 	Frequency	R/Q       	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5515e9 	79579.    	6976.8	1   	0.                
   lr(2) =       	3.0755e9 	3950.7    	52237.	1   	0.                
   lr(3) =       	1.7041e9 	51733.    	1652.7	1   	0.                
   lr(4) =       	1.7377e9 	43463.    	1792.1	1   	0.                
   lr(5) =       	1.8696e9 	39829.    	1598.7	1   	0.                
   lr(6) =       	1.8556e9 	25766.    	1510.1	1   	0.                
   lr(7) =       	1.8707e9 	42971.    	820.09	1   	0.                
   lr(8) =       	1.8714e9 	40393.    	660.73	1   	0.                
   lr(9) =       	1.7901e9 	10560.    	893.72	1   	0.                
   lr(10) =      	1.6767e9 	11392.    	756.77	1   	0.                
/                
