Cavity #17       
                 	Frequency	R/Q               	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5513e9 	78800.            	9531.4 	1   	0.                
   lr(2) =       	3.0745e9 	4057.8999999999996	182250.	1   	0.                
   lr(3) =       	1.7367e9 	42601.00000000001 	1859.8 	1   	0.                
   lr(4) =       	1.7041e9 	50841.            	1524.7 	1   	0.                
   lr(5) =       	1.8698e9 	40332.            	1803.6 	1   	0.                
   lr(6) =       	1.8548e9 	26450.            	1614.8 	1   	0.                
   lr(7) =       	1.8706e9 	44355.            	817.69 	1   	0.                
   lr(8) =       	4.6743e9 	10344.            	7711.6 	1   	0.                
   lr(9) =       	1.8715e9 	38708.            	551.98 	1   	0.                
   lr(10) =      	1.6777e9 	11910.            	644.58 	1   	0.                
/                
