Cavity #162      
                 	Frequency	R/Q       	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5523e9 	78343.    	7080.  	1   	0.                
   lr(2) =       	5.6081e9 	4010.9    	273190.	1   	0.                
   lr(3) =       	3.0755e9 	3831.3    	133240.	1   	0.                
   lr(4) =       	1.7035e9 	51822.    	1685.2 	1   	0.                
   lr(5) =       	1.7375e9 	43991.    	1817.6 	1   	0.                
   lr(6) =       	1.8699e9 	38681.    	1560.2 	1   	0.                
   lr(7) =       	1.8556e9 	26193.    	1586.3 	1   	0.                
   lr(8) =       	1.8709e9 	41608.    	883.51 	1   	0.                
   lr(9) =       	1.8717e9 	38558.    	673.68 	1   	0.                
   lr(10) =      	1.6755e9 	11375.    	697.23 	1   	0.                
/                
