Cavity #323      
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5525e9 	78269.           	7835.  	1   	0.                
   lr(2) =       	3.0753e9 	3846.1           	155240.	1   	0.                
   lr(3) =       	3.0702e9 	1178.7           	480450.	1   	0.                
   lr(4) =       	1.7038e9 	51428.           	1711.8 	1   	0.                
   lr(5) =       	1.7368e9 	43943.           	1875.2 	1   	0.                
   lr(6) =       	1.8706e9 	38378.           	1446.3 	1   	0.                
   lr(7) =       	1.8555e9 	27448.           	1503.  	1   	0.                
   lr(8) =       	1.8715e9 	41148.99999999999	903.4  	1   	0.                
   lr(9) =       	1.8725e9 	38535.           	716.44 	1   	0.                
   lr(10) =      	2.5408e9 	72035.           	112.74 	1   	0.                
/                
