Cavity #115      
                 	Frequency	R/Q       	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5502e9 	77587.    	7642.8 	1   	0.                
   lr(2) =       	3.0729e9 	3973.3    	96337. 	1   	0.                
   lr(3) =       	3.0677e9 	1245.5    	253490.	1   	0.                
   lr(4) =       	8.8374e9 	6691.5    	90283. 	1   	0.                
   lr(5) =       	1.7361e9 	43417.    	1876.4 	1   	0.                
   lr(6) =       	1.7021e9 	50213.    	1522.  	1   	0.                
   lr(7) =       	1.8698e9 	40350.    	1551.  	1   	0.                
   lr(8) =       	1.8551e9 	26351.    	1538.2 	1   	0.                
   lr(9) =       	1.8709e9 	43959.    	799.4  	1   	0.                
   lr(10) =      	1.8718e9 	38442.    	555.72 	1   	0.                
/                
