Cavity #295      
                 	Frequency	R/Q       	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0757e9 	3933.6    	239840.	1   	0.                
   lr(2) =       	2.5529e9 	76852.    	9665.9 	1   	0.                
   lr(3) =       	1.7373e9 	44728.    	1860.5 	1   	0.                
   lr(4) =       	1.7039e9 	51007.    	1595.8 	1   	0.                
   lr(5) =       	8.8375e9 	8034.2    	47542. 	1   	0.                
   lr(6) =       	1.8705e9 	38811.    	1650.7 	1   	0.                
   lr(7) =       	1.8553e9 	27087.    	1562.  	1   	0.                
   lr(8) =       	1.8713e9 	42343.    	885.1  	1   	0.                
   lr(9) =       	4.6763e9 	9959.3    	7481.7 	1   	0.                
   lr(10) =      	1.8722e9 	38721.    	656.89 	1   	0.                
/                
