adjust the phase of the first vertical BPM R:VP605 to be the same as  designed value

                 Horz         Vert         Sync.                           
 Tune           ( .45536 )   ( .401718)   ( 0      ) 2p                    
 Emittance      ( .114   )   ( .1555  )   ( 0      ) p-mm-mr               
 Decay time     ( 0      )   ( 0      )   ( 0      ) turns                 
 Coupling coef. (        )   (        )                                    
                                                                           
*Plot: [Position ] on [GxPB 2]                                             
 Plane: [Vertical  ]                                                       
 Turns from -<  700>+ for (   39) turns                                    
 From -<R:VP607   >+ for ( 8) BPMs                                         
                                                                           
*Fit TBT phase: from -<  700>+ for (   30) turns                           
 Reference at turn# (  700) with phase (-.23231 )                          
    Average RMS deviation:  .12816 +  .06598                               
                                                                           
BPM           Phase    Ampl.   RMSdev     Beta  bml_psi *Calib Old_Cal     
R:VP119     0.49169  0.20242    0.077    0.263  0.25938                         
R:VP121    -0.22517  0.20081    0.167    0.259 -0.45748                         
R:VP123    -0.05023  0.20900    0.044    0.281 -0.28254                         
R:VP125     0.19240  0.16503    0.176    0.175 -0.03991                         
R:VP127     0.40951  0.23689    0.058    0.361  0.17720                         
R:VP129    -0.37320  0.15211    0.157    0.149  0.39449                         
R:VP201    -0.13979  0.21122    0.107    0.287 -0.37210                         
R:VP203     0.05407  0.18057    0.109    0.210 -0.17824                         
R:VP205     0.32281  0.21411    0.142    0.295  0.09050                         
R:VP207     0.49737  0.19411    0.040    0.242  0.26506                         
R:VP209    -0.24249  0.17291    0.127    0.192 -0.47480                         
R:VP211    -0.03848  0.20639    0.044    0.274 -0.27079                         
R:VP213     0.19288  0.19166    0.094    0.236 -0.03943                         
R:VP215     0.42348  0.23355    0.100    0.351  0.19117                         
R:VP217    -0.40514  0.14037    0.046    0.127  0.36255                         
R:VP219    -0.07899  0.19871    0.066    0.254 -0.31130                         
R:VP221     0.11840  0.18182    0.093    0.213 -0.11391                         
