#     Ix      Iy          X              Y               Z
 
     -21      -4      -2.94829271E-02  -8.51284211E-03   4.47227249E-04
     -21      -3      -2.94829271E-02  -6.38463158E-03   6.05921652E-04
     -21      -2      -2.94829271E-02  -4.25642106E-03   7.89194599E-04
     -21      -1      -2.94829271E-02  -2.12821053E-03   9.97116385E-04
     -21       0      -2.94829271E-02   0.00000000E+00   1.22976668E-03
     -21       1      -2.94829271E-02   2.12821053E-03   1.22976668E-03
     -21       2      -2.94829271E-02   4.25642106E-03   9.97116385E-04
     -21       3      -2.94829271E-02   6.38463158E-03   7.89194599E-04
     -21       4      -2.94829271E-02   8.51284211E-03   6.05921652E-04
     -21       5      -2.94829271E-02   1.06410526E-02   4.47227249E-04
     -21       6      -2.94829271E-02   1.27692632E-02   3.13050467E-04
     -21       7      -2.94829271E-02   1.48974737E-02   2.03339759E-04
     -21       8      -2.94829271E-02   1.70256842E-02   1.18052946E-04
     -21       9      -2.94829271E-02   1.91538948E-02   5.71572260E-05
     -21      10      -2.94829271E-02   2.12821053E-02   6.22862415E-05
 
     -20     -10      -2.80789781E-02  -2.12821053E-02   1.35246590E-05
     -20      -9      -2.80789781E-02  -1.91538948E-02   2.57138784E-05
     -20      -8      -2.80789781E-02  -1.70256842E-02   6.22862415E-05
     -20      -7      -2.80789781E-02  -1.48974737E-02   1.23255863E-04
     -20      -6      -2.80789781E-02  -1.27692632E-02   2.08646269E-04
     -20      -5      -2.80789781E-02  -1.06410526E-02   3.18490394E-04
     -20      -4      -2.80789781E-02  -8.51284211E-03   4.52830582E-04
     -20      -3      -2.80789781E-02  -6.38463158E-03   6.11718589E-04
     -20      -2      -2.80789781E-02  -4.25642106E-03   7.95215581E-04
     -20      -1      -2.80789781E-02  -2.12821053E-03   1.00339213E-03
     -20       0      -2.80789781E-02   0.00000000E+00   1.23632822E-03
     -20       1      -2.80789781E-02   2.12821053E-03   1.23632822E-03
     -20       2      -2.80789781E-02   4.25642106E-03   1.00339213E-03
     -20       3      -2.80789781E-02   6.38463158E-03   7.95215581E-04
     -20       4      -2.80789781E-02   8.51284211E-03   6.11718589E-04
     -20       5      -2.80789781E-02   1.06410526E-02   4.52830582E-04
     -20       6      -2.80789781E-02   1.27692632E-02   3.18490394E-04
     -20       7      -2.80789781E-02   1.48974737E-02   2.08646269E-04
     -20       8      -2.80789781E-02   1.70256842E-02   1.23255863E-04
     -20       9      -2.80789781E-02   1.91538948E-02   6.22862415E-05
     -20      10      -2.80789781E-02   2.12821053E-02   6.86103719E-05
 
     -19     -10      -2.66750292E-02  -2.12821053E-02   1.97896493E-05
     -19      -9      -2.66750292E-02  -1.91538948E-02   3.19936490E-05
     -19      -8      -2.66750292E-02  -1.70256842E-02   6.86103719E-05
     -19      -7      -2.66750292E-02  -1.48974737E-02   1.29653989E-04
     -19      -6      -2.66750292E-02  -1.27692632E-02   2.15148121E-04
     -19      -5      -2.66750292E-02  -1.06410526E-02   3.25125832E-04
     -19      -4      -2.66750292E-02  -8.51284211E-03   4.59629637E-04
     -19      -3      -2.66750292E-02  -6.38463158E-03   6.18711499E-04
     -19      -2      -2.66750292E-02  -4.25642106E-03   8.02432826E-04
     -19      -1      -2.66750292E-02  -2.12821053E-03   1.01086448E-03
     -19       0      -2.66750292E-02   0.00000000E+00   1.24408675E-03
     -19       1      -2.66750292E-02   2.12821053E-03   1.24408675E-03
     -19       2      -2.66750292E-02   4.25642106E-03   1.01086448E-03
     -19       3      -2.66750292E-02   6.38463158E-03   8.02432826E-04
     -19       4      -2.66750292E-02   8.51284211E-03   6.18711499E-04
     -19       5      -2.66750292E-02   1.06410526E-02   4.59629637E-04
     -19       6      -2.66750292E-02   1.27692632E-02   3.25125832E-04
     -19       7      -2.66750292E-02   1.48974737E-02   2.15148121E-04
     -19       8      -2.66750292E-02   1.70256842E-02   1.29653989E-04
     -19       9      -2.66750292E-02   1.91538948E-02   6.86103719E-05
     -19      10      -2.66750292E-02   2.12821053E-02   7.61346149E-05
 
     -18     -10      -2.52710803E-02  -2.12821053E-02   2.72546780E-05
     -18      -9      -2.52710803E-02  -1.91538948E-02   3.94734766E-05
     -18      -8      -2.52710803E-02  -1.70256842E-02   7.61346149E-05
     -18      -7      -2.52710803E-02  -1.48974737E-02   1.37252321E-04
     -18      -6      -2.52710803E-02  -1.27692632E-02   2.22850309E-04
     -18      -5      -2.52710803E-02  -1.06410526E-02   3.32961776E-04
     -18      -4      -2.52710803E-02  -8.51284211E-03   4.67629407E-04
     -18      -3      -2.52710803E-02  -6.38463158E-03   6.26905372E-04
     -18      -2      -2.52710803E-02  -4.25642106E-03   8.10851325E-04
     -18      -1      -2.52710803E-02  -2.12821053E-03   1.01953841E-03
     -18       0      -2.52710803E-02   0.00000000E+00   1.25304724E-03
     -18       1      -2.52710803E-02   2.12821053E-03   1.25304724E-03
     -18       2      -2.52710803E-02   4.25642106E-03   1.01953841E-03
     -18       3      -2.52710803E-02   6.38463158E-03   8.10851325E-04
     -18       4      -2.52710803E-02   8.51284211E-03   6.26905372E-04
     -18       5      -2.52710803E-02   1.06410526E-02   4.67629407E-04
     -18       6      -2.52710803E-02   1.27692632E-02   3.32961776E-04
     -18       7      -2.52710803E-02   1.48974737E-02   2.22850309E-04
     -18       8      -2.52710803E-02   1.70256842E-02   1.37252321E-04
     -18       9      -2.52710803E-02   1.91538948E-02   7.61346149E-05
     -18      10      -2.52710803E-02   2.12821053E-02   8.48640056E-05
 
     -17     -10      -2.38671314E-02  -2.12821053E-02   3.59247806E-05
     -17      -9      -2.38671314E-02  -1.91538948E-02   4.81583965E-05
     -17      -8      -2.38671314E-02  -1.70256842E-02   8.48640056E-05
     -17      -7      -2.38671314E-02  -1.48974737E-02   1.46055893E-04
     -17      -6      -2.38671314E-02  -1.27692632E-02   2.31757867E-04
     -17      -5      -2.38671314E-02  -1.06410526E-02   3.42003258E-04
     -17      -4      -2.38671314E-02  -8.51284211E-03   4.76834922E-04
     -17      -3      -2.38671314E-02  -6.38463158E-03   6.36305237E-04
     -17      -2      -2.38671314E-02  -4.25642106E-03   8.20476103E-04
     -17      -1      -2.38671314E-02  -2.12821053E-03   1.02941895E-03
     -17       0      -2.38671314E-02   0.00000000E+00   1.26321471E-03
     -17       1      -2.38671314E-02   2.12821053E-03   1.26321471E-03
     -17       2      -2.38671314E-02   4.25642106E-03   1.02941895E-03
     -17       3      -2.38671314E-02   6.38463158E-03   8.20476103E-04
     -17       4      -2.38671314E-02   8.51284211E-03   6.36305237E-04
     -17       5      -2.38671314E-02   1.06410526E-02   4.76834922E-04
     -17       6      -2.38671314E-02   1.27692632E-02   3.42003258E-04
     -17       7      -2.38671314E-02   1.48974737E-02   2.31757867E-04
     -17       8      -2.38671314E-02   1.70256842E-02   1.46055893E-04
     -17       9      -2.38671314E-02   1.91538948E-02   8.48640056E-05
     -17      10      -2.38671314E-02   2.12821053E-02   9.48036165E-05
 
     -16     -10      -2.24631825E-02  -2.12821053E-02   4.58050305E-05
     -16      -9      -2.24631825E-02  -1.91538948E-02   5.80534819E-05
     -16      -8      -2.24631825E-02  -1.70256842E-02   9.48036165E-05
     -16      -7      -2.24631825E-02  -1.48974737E-02   1.56069777E-04
     -16      -6      -2.24631825E-02  -1.27692632E-02   2.41875865E-04
     -16      -5      -2.24631825E-02  -1.06410526E-02   3.52255348E-04
     -16      -4      -2.24631825E-02  -8.51284211E-03   4.87251250E-04
     -16      -3      -2.24631825E-02  -6.38463158E-03   6.46916159E-04
     -16      -2      -2.24631825E-02  -4.25642106E-03   8.31312225E-04
     -16      -1      -2.24631825E-02  -2.12821053E-03   1.04051116E-03
     -16       0      -2.24631825E-02   0.00000000E+00   1.27459423E-03
     -16       1      -2.24631825E-02   2.12821053E-03   1.27459423E-03
     -16       2      -2.24631825E-02   4.25642106E-03   1.04051116E-03
     -16       3      -2.24631825E-02   6.38463158E-03   8.31312225E-04
     -16       4      -2.24631825E-02   8.51284211E-03   6.46916159E-04
     -16       5      -2.24631825E-02   1.06410526E-02   4.87251250E-04
     -16       6      -2.24631825E-02   1.27692632E-02   3.52255348E-04
     -16       7      -2.24631825E-02   1.48974737E-02   2.41875865E-04
     -16       8      -2.24631825E-02   1.70256842E-02   1.56069777E-04
     -16       9      -2.24631825E-02   1.91538948E-02   9.48036165E-05
     -16      10      -2.24631825E-02   2.12821053E-02   1.05958558E-04
 
     -15     -10      -2.10592336E-02  -2.12821053E-02   5.69005390E-05
     -15      -9      -2.10592336E-02  -1.91538948E-02   6.91638439E-05
     -15      -8      -2.10592336E-02  -1.70256842E-02   1.05958558E-04
     -15      -7      -2.10592336E-02  -1.48974737E-02   1.67299082E-04
     -15      -6      -2.10592336E-02  -1.27692632E-02   2.53209414E-04
     -15      -5      -2.10592336E-02  -1.06410526E-02   3.63723153E-04
     -15      -4      -2.10592336E-02  -8.51284211E-03   4.98883497E-04
     -15      -3      -2.10592336E-02  -6.38463158E-03   6.58743244E-04
     -15      -2      -2.10592336E-02  -4.25642106E-03   8.43364791E-04
     -15      -1      -2.10592336E-02  -2.12821053E-03   1.05282014E-03
     -15       0      -2.10592336E-02   0.00000000E+00   1.28719088E-03
     -15       1      -2.10592336E-02   2.12821053E-03   1.28719088E-03
     -15       2      -2.10592336E-02   4.25642106E-03   1.05282014E-03
     -15       3      -2.10592336E-02   6.38463158E-03   8.43364791E-04
     -15       4      -2.10592336E-02   8.51284211E-03   6.58743244E-04
     -15       5      -2.10592336E-02   1.06410526E-02   4.98883497E-04
     -15       6      -2.10592336E-02   1.27692632E-02   3.63723153E-04
     -15       7      -2.10592336E-02   1.48974737E-02   2.53209414E-04
     -15       8      -2.10592336E-02   1.70256842E-02   1.67299082E-04
     -15       9      -2.10592336E-02   1.91538948E-02   1.05958558E-04
     -15      10      -2.10592336E-02   2.12821053E-02   1.18333981E-04
 
     -14     -10      -1.96552847E-02  -2.12821053E-02   6.92164557E-05
     -14      -9      -1.96552847E-02  -1.91538948E-02   8.14946322E-05
     -14      -8      -1.96552847E-02  -1.70256842E-02   1.18333981E-04
     -14      -7      -1.96552847E-02  -1.48974737E-02   1.79748958E-04
     -14      -6      -1.96552847E-02  -1.27692632E-02   2.65763660E-04
     -14      -5      -1.96552847E-02  -1.06410526E-02   3.76411819E-04
     -14      -4      -1.96552847E-02  -8.51284211E-03   5.11736807E-04
     -14      -3      -1.96552847E-02  -6.38463158E-03   6.71791632E-04
     -14      -2      -1.96552847E-02  -4.25642106E-03   8.56638943E-04
     -14      -1      -1.96552847E-02  -2.12821053E-03   1.06635103E-03
     -14       0      -1.96552847E-02   0.00000000E+00   1.30100980E-03
     -14       1      -1.96552847E-02   2.12821053E-03   1.30100980E-03
     -14       2      -1.96552847E-02   4.25642106E-03   1.06635103E-03
     -14       3      -1.96552847E-02   6.38463158E-03   8.56638943E-04
     -14       4      -1.96552847E-02   8.51284211E-03   6.71791632E-04
     -14       5      -1.96552847E-02   1.06410526E-02   5.11736807E-04
     -14       6      -1.96552847E-02   1.27692632E-02   3.76411819E-04
     -14       7      -1.96552847E-02   1.48974737E-02   2.65763660E-04
     -14       8      -1.96552847E-02   1.70256842E-02   1.79748958E-04
     -14       9      -1.96552847E-02   1.91538948E-02   1.18333981E-04
     -14      10      -1.96552847E-02   2.12821053E-02   1.31935071E-04
 
     -13     -10      -1.82513358E-02  -2.12821053E-02   8.27579692E-05
     -13      -9      -1.82513358E-02  -1.91538948E-02   9.50510350E-05
     -13      -8      -1.82513358E-02  -1.70256842E-02   1.31935071E-04
     -13      -7      -1.82513358E-02  -1.48974737E-02   1.93424591E-04
     -13      -6      -1.82513358E-02  -1.27692632E-02   2.79543789E-04
     -13      -5      -1.82513358E-02  -1.06410526E-02   3.90326531E-04
     -13      -4      -1.82513358E-02  -8.51284211E-03   5.25816363E-04
     -13      -3      -1.82513358E-02  -6.38463158E-03   6.86066506E-04
     -13      -2      -1.82513358E-02  -4.25642106E-03   8.71139859E-04
     -13      -1      -1.82513358E-02  -2.12821053E-03   1.08110900E-03
     -13       0      -1.82513358E-02   0.00000000E+00   1.31605617E-03
     -13       1      -1.82513358E-02   2.12821053E-03   1.31605617E-03
     -13       2      -1.82513358E-02   4.25642106E-03   1.08110900E-03
     -13       3      -1.82513358E-02   6.38463158E-03   8.71139859E-04
     -13       4      -1.82513358E-02   8.51284211E-03   6.86066506E-04
     -13       5      -1.82513358E-02   1.06410526E-02   5.25816363E-04
     -13       6      -1.82513358E-02   1.27692632E-02   3.90326531E-04
     -13       7      -1.82513358E-02   1.48974737E-02   2.79543789E-04
     -13       8      -1.82513358E-02   1.70256842E-02   1.93424591E-04
     -13       9      -1.82513358E-02   1.91538948E-02   1.31935071E-04
     -13      10      -1.82513358E-02   2.12821053E-02   1.46767056E-04
 
     -12     -10      -1.68473869E-02  -2.12821053E-02   9.75303072E-05
     -12      -9      -1.68473869E-02  -1.91538948E-02   1.09838280E-04
     -12      -8      -1.68473869E-02  -1.70256842E-02   1.46767056E-04
     -12      -7      -1.68473869E-02  -1.48974737E-02   2.08331208E-04
     -12      -6      -1.68473869E-02  -1.27692632E-02   2.94555026E-04
     -12      -5      -1.68473869E-02  -1.06410526E-02   4.05472512E-04
     -12      -4      -1.68473869E-02  -8.51284211E-03   5.41127387E-04
     -12      -3      -1.68473869E-02  -6.38463158E-03   7.01573085E-04
     -12      -2      -1.68473869E-02  -4.25642106E-03   8.86872757E-04
     -12      -1      -1.68473869E-02  -2.12821053E-03   1.09709927E-03
     -12       0      -1.68473869E-02   0.00000000E+00   1.33233520E-03
     -12       1      -1.68473869E-02   2.12821053E-03   1.33233520E-03
     -12       2      -1.68473869E-02   4.25642106E-03   1.09709927E-03
     -12       3      -1.68473869E-02   6.38463158E-03   8.86872757E-04
     -12       4      -1.68473869E-02   8.51284211E-03   7.01573085E-04
     -12       5      -1.68473869E-02   1.06410526E-02   5.41127387E-04
     -12       6      -1.68473869E-02   1.27692632E-02   4.05472512E-04
     -12       7      -1.68473869E-02   1.48974737E-02   2.94555026E-04
     -12       8      -1.68473869E-02   1.70256842E-02   2.08331208E-04
     -12       9      -1.68473869E-02   1.91538948E-02   1.46767056E-04
     -12      10      -1.68473869E-02   2.12821053E-02   1.62835203E-04
 
     -11     -10      -1.54434380E-02  -2.12821053E-02   1.13538737E-04
     -11      -9      -1.54434380E-02  -1.91538948E-02   1.25861634E-04
     -11      -8      -1.54434380E-02  -1.70256842E-02   1.62835203E-04
     -11      -7      -1.54434380E-02  -1.48974737E-02   2.24474075E-04
     -11      -6      -1.54434380E-02  -1.27692632E-02   3.10802636E-04
     -11      -5      -1.54434380E-02  -1.06410526E-02   4.21855026E-04
     -11      -4      -1.54434380E-02  -8.51284211E-03   5.57675140E-04
     -11      -3      -1.54434380E-02  -6.38463158E-03   7.18316628E-04
     -11      -2      -1.54434380E-02  -4.25642106E-03   9.03842893E-04
     -11      -1      -1.54434380E-02  -2.12821053E-03   1.11432709E-03
