Cavity #288      
                 	Frequency	R/Q               	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0617e9 	216.21            	1.9404e8	1   	0.                
   lr(2) =       	3.0617e9 	217.07            	1.4673e7	1   	0.                
   lr(3) =       	3.0737e9 	3788.9            	821440. 	1   	0.                
   lr(4) =       	2.5496e9 	80821.            	6054.6  	1   	0.                
   lr(5) =       	1.7043e9 	52192.99999999999 	1683.3  	1   	0.                
   lr(6) =       	1.7389e9 	42358.            	1713.2  	1   	0.                
   lr(7) =       	1.8703e9 	41273.            	1500.6  	1   	0.                
   lr(8) =       	1.8713e9 	43616.            	1040.9  	1   	0.                
   lr(9) =       	1.8558e9 	25442.999999999996	1567.3  	1   	0.                
   lr(10) =      	1.8722e9 	35900.            	571.97  	1   	0.                
/                
