Cavity #8        
                 	Frequency	R/Q              	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5535e9 	77208.           	12362.	1   	0.                
   lr(2) =       	1.7372e9 	45983.           	1916.9	1   	0.                
   lr(3) =       	1.7024e9 	50396.           	1659.2	1   	0.                
   lr(4) =       	3.0734e9 	3894.9           	37471.	1   	0.                
   lr(5) =       	1.8704e9 	39260.           	1424.5	1   	0.                
   lr(6) =       	8.8399e9 	9543.1           	24762.	1   	0.                
   lr(7) =       	1.8556e9 	26464.           	1434.2	1   	0.                
   lr(8) =       	4.6763e9 	10664.           	8601.5	1   	0.                
   lr(9) =       	1.8715e9 	42687.           	741.87	1   	0.                
   lr(10) =      	1.8724e9 	40124.00000000001	615.98	1   	0.                
/                
