Cavity #195      
                 	Frequency	R/Q              	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5566e9 	76549.           	9149.9	1   	0.                
   lr(2) =       	8.8469e9 	8105.299999999999	88483.	1   	0.                
   lr(3) =       	8.8469e9 	7800.8           	71144.	1   	0.                
   lr(4) =       	3.0771e9 	4002.            	43971.	1   	0.                
   lr(5) =       	1.7389e9 	47379.           	1951.3	1   	0.                
   lr(6) =       	1.704e9  	50223.00000000001	1565.7	1   	0.                
   lr(7) =       	1.8706e9 	37356.           	1551.9	1   	0.                
   lr(8) =       	1.8715e9 	35707.           	1081.4	1   	0.                
   lr(9) =       	1.8569e9 	25398.           	1477.6	1   	0.                
   lr(10) =      	1.8724e9 	40091.           	618.49	1   	0.                
/                
