Cavity #5        
                 	Frequency	R/Q       	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5573e9 	73528.    	9271.2 	1   	0.                
   lr(2) =       	8.8415e9 	6585.2    	194270.	1   	0.                
   lr(3) =       	1.7377e9 	47665.    	1944.9 	1   	0.                
   lr(4) =       	1.7037e9 	50034.    	1620.9 	1   	0.                
   lr(5) =       	3.077e9  	3771.9    	35493. 	1   	0.                
   lr(6) =       	1.87e9   	38444.    	1545.1 	1   	0.                
   lr(7) =       	1.857e9  	23857.    	1559.1 	1   	0.                
   lr(8) =       	1.871e9  	41565.    	831.27 	1   	0.                
   lr(9) =       	2.547e9  	7924.2    	3634.1 	1   	0.                
   lr(10) =      	1.872e9  	36178.    	575.5  	1   	0.                
/                
