Cavity #41       
                 	Frequency	R/Q       	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0776e9 	4204.8    	678930.	1   	0.                
   lr(2) =       	2.5547e9 	74653.    	6826.7 	1   	0.                
   lr(3) =       	8.8367e9 	6919.1    	80708. 	1   	0.                
   lr(4) =       	1.7045e9 	52554.    	1746.6 	1   	0.                
   lr(5) =       	1.7405e9 	45596.    	1770.4 	1   	0.                
   lr(6) =       	1.8701e9 	37974.    	1476.7 	1   	0.                
   lr(7) =       	1.8567e9 	24059.    	1487.7 	1   	0.                
   lr(8) =       	1.8709e9 	41916.    	815.98 	1   	0.                
   lr(9) =       	1.872e9  	40521.    	715.68 	1   	0.                
   lr(10) =      	2.5453e9 	9345.5    	2571.4 	1   	0.                
/                
