Cavity #264      
                 	Frequency	R/Q              	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0644e9 	97.111           	4.0642e8	1   	0.                
   lr(2) =       	2.5535e9 	73484.           	4677.1  	1   	0.                
   lr(3) =       	8.8334e9 	6570.5           	105450. 	1   	0.                
   lr(4) =       	8.8334e9 	5951.999999999999	112040. 	1   	0.                
   lr(5) =       	1.7392e9 	46268.           	1930.1  	1   	0.                
   lr(6) =       	1.7021e9 	51952.           	1599.5  	1   	0.                
   lr(7) =       	1.8699e9 	38047.           	1704.2  	1   	0.                
   lr(8) =       	1.8569e9 	26301.           	1645.8  	1   	0.                
   lr(9) =       	1.8709e9 	40405.           	968.19  	1   	0.                
   lr(10) =      	1.8716e9 	35644.           	665.67  	1   	0.                
/                
