Cavity #1        
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5519e9 	76329.           	7460.8 	1   	0.                
   lr(2) =       	8.8324e9 	6517.4           	109640.	1   	0.                
   lr(3) =       	1.7387e9 	43920.           	2007.8 	1   	0.                
   lr(4) =       	3.0741e9 	3883.2           	36487. 	1   	0.                
   lr(5) =       	1.7028e9 	50528.00000000001	1403.6 	1   	0.                
   lr(6) =       	1.8708e9 	39801.           	1737.  	1   	0.                
   lr(7) =       	1.8565e9 	27365.           	1787.8 	1   	0.                
   lr(8) =       	1.8719e9 	43025.           	723.9  	1   	0.                
   lr(9) =       	1.8726e9 	36714.           	507.11 	1   	0.                
   lr(10) =      	2.5203e9 	47158.           	248.5  	1   	0.                
/                
