Cavity #242      
                 	Frequency	R/Q       	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0684e9 	420.91    	2.7146e6	1   	0.                
   lr(2) =       	2.5506e9 	78639.    	8757.4  	1   	0.                
   lr(3) =       	3.075e9  	4005.     	38860.  	1   	0.                
   lr(4) =       	1.7036e9 	50918.    	1609.4  	1   	0.                
   lr(5) =       	1.7372e9 	43799.    	1847.9  	1   	0.                
   lr(6) =       	1.869e9  	41223.    	1545.6  	1   	0.                
   lr(7) =       	1.8702e9 	42972.    	907.6   	1   	0.                
   lr(8) =       	1.8554e9 	25191.    	1370.7  	1   	0.                
   lr(9) =       	1.8708e9 	38652.    	668.13  	1   	0.                
   lr(10) =      	1.8819e9 	8457.     	1929.4  	1   	0.                
/                
