Cavity #51       
                 	Frequency	R/Q              	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0753e9 	3829.9           	2.6584e6	1   	0.                
   lr(2) =       	2.5523e9 	66596.           	5612.   	1   	0.                
   lr(3) =       	8.8438e9 	5805.4           	82739.  	1   	0.                
   lr(4) =       	1.7034e9 	50533.           	1615.4  	1   	0.                
   lr(5) =       	1.7374e9 	43839.           	1681.6  	1   	0.                
   lr(6) =       	1.8703e9 	38840.           	1540.2  	1   	0.                
   lr(7) =       	1.871e9  	41938.00000000001	955.6   	1   	0.                
   lr(8) =       	1.855e9  	25254.           	1567.3  	1   	0.                
   lr(9) =       	1.8721e9 	40039.           	744.83  	1   	0.                
   lr(10) =      	2.5384e9 	15661.           	2473.9  	1   	0.                
/                
