Cavity #217      
                 	Frequency	R/Q       	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0628e9 	290.51    	1.1088e8	1   	0.                
   lr(2) =       	3.0628e9 	293.47    	2.0191e7	1   	0.                
   lr(3) =       	3.0743e9 	4243.5    	154380. 	1   	0.                
   lr(4) =       	2.5496e9 	83584.    	6416.9  	1   	0.                
   lr(5) =       	1.7392e9 	43971.    	1827.   	1   	0.                
   lr(6) =       	1.7036e9 	50220.    	1395.2  	1   	0.                
   lr(7) =       	1.8703e9 	41623.    	1842.7  	1   	0.                
   lr(8) =       	1.8562e9 	25460.    	1754.8  	1   	0.                
   lr(9) =       	1.8713e9 	45591.    	718.77  	1   	0.                
   lr(10) =      	1.8719e9 	39531.    	504.34  	1   	0.                
/                
