Cavity #301      
                 	Frequency	R/Q               	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5501e9 	76516.            	5667.5	1   	0.                
   lr(2) =       	5.5964e9 	5725.5            	67378.	1   	0.                
   lr(3) =       	5.5964e9 	5715.599999999999 	66322.	1   	0.                
   lr(4) =       	3.0722e9 	4013.3999999999996	40517.	1   	0.                
   lr(5) =       	1.7013e9 	51289.99999999999 	1557.4	1   	0.                
   lr(6) =       	1.7376e9 	41623.            	1874.7	1   	0.                
   lr(7) =       	1.8689e9 	40477.            	1957.7	1   	0.                
   lr(8) =       	1.8542e9 	27484.            	1407.8	1   	0.                
   lr(9) =       	1.8698e9 	44295.            	859.97	1   	0.                
   lr(10) =      	1.8705e9 	39380.            	595.86	1   	0.                
/                
