Cavity #156      
                 	Frequency	R/Q              	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0675e9 	327.07           	3.1935e7	1   	0.                
   lr(2) =       	2.5516e9 	72588.           	11141.  	1   	0.                
   lr(3) =       	3.0751e9 	3887.8           	52645.  	1   	0.                
   lr(4) =       	1.7034e9 	51232.           	1576.6  	1   	0.                
   lr(5) =       	1.7381e9 	43688.           	1797.1  	1   	0.                
   lr(6) =       	1.8694e9 	41775.           	1621.   	1   	0.                
   lr(7) =       	1.8705e9 	44941.00000000001	850.89  	1   	0.                
   lr(8) =       	1.8559e9 	24673.           	1445.9  	1   	0.                
   lr(9) =       	2.5404e9 	11493.           	2812.4  	1   	0.                
   lr(10) =      	1.8712e9 	37843.           	542.57  	1   	0.                
/                
