Cavity #83       
                 	Frequency	R/Q       	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.549e9  	73048.    	9502.2	1   	0.                
   lr(2) =       	3.072e9  	4019.8    	37417.	1   	0.                
   lr(3) =       	1.7031e9 	50500.    	1453. 	1   	0.                
   lr(4) =       	1.7356e9 	40076.    	1854.2	1   	0.                
   lr(5) =       	1.8695e9 	41483.    	1791.5	1   	0.                
   lr(6) =       	1.8551e9 	26806.    	1683.3	1   	0.                
   lr(7) =       	1.8705e9 	45313.    	680.92	1   	0.                
   lr(8) =       	2.539e9  	11957.    	2580. 	1   	0.                
   lr(9) =       	1.8712e9 	38810.    	469.05	1   	0.                
   lr(10) =      	1.7907e9 	10166.    	1077.5	1   	0.                
/                
