Cavity #187      
                 	Frequency	R/Q              	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5563e9 	75812.           	9544.1	1   	0.                
   lr(2) =       	3.0777e9 	4196.3           	84239.	1   	0.                
   lr(3) =       	1.7054e9 	51573.           	1786.9	1   	0.                
   lr(4) =       	1.7395e9 	47133.           	1903.9	1   	0.                
   lr(5) =       	1.87e9   	38279.           	1336.4	1   	0.                
   lr(6) =       	1.871e9  	41724.           	779.22	1   	0.                
   lr(7) =       	1.858e9  	23352.           	1290.8	1   	0.                
   lr(8) =       	4.6799e9 	10396.           	6431.6	1   	0.                
   lr(9) =       	1.8721e9 	37956.           	633.48	1   	0.                
   lr(10) =      	1.6777e9 	9994.300000000001	827.02	1   	0.                
/                
