Cavity #6        
                 	Frequency	R/Q               	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0771e9 	3668.6000000000004	144970.	1   	0.                
   lr(2) =       	2.5525e9 	71347.            	4253.6 	1   	0.                
   lr(3) =       	5.6092e9 	4119.2            	149730.	1   	0.                
   lr(4) =       	1.705e9  	51969.            	1625.4 	1   	0.                
   lr(5) =       	1.7382e9 	42179.            	1832.  	1   	0.                
   lr(6) =       	1.8705e9 	38648.            	1744.4 	1   	0.                
   lr(7) =       	1.8558e9 	26711.            	1672.7 	1   	0.                
   lr(8) =       	1.8714e9 	41623.            	868.34 	1   	0.                
   lr(9) =       	2.5442e9 	14531.            	2843.7 	1   	0.                
   lr(10) =      	1.8722e9 	38670.            	668.33 	1   	0.                
/                
