Cavity #245      
                 	Frequency	R/Q       	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0692e9 	451.35    	5.2768e6	1   	0.                
   lr(2) =       	8.8409e9 	7920.9    	281620. 	1   	0.                
   lr(3) =       	2.5552e9 	75289.    	7484.4  	1   	0.                
   lr(4) =       	1.7384e9 	47057.    	1819.6  	1   	0.                
   lr(5) =       	1.7061e9 	49323.    	1559.9  	1   	0.                
   lr(6) =       	1.8711e9 	39147.    	1696.9  	1   	0.                
   lr(7) =       	3.0767e9 	3700.3    	29234.  	1   	0.                
   lr(8) =       	1.857e9  	25570.    	1612.   	1   	0.                
   lr(9) =       	1.872e9  	43054.    	789.59  	1   	0.                
   lr(10) =      	1.8729e9 	40934.    	659.06  	1   	0.                
/                
