Cavity #101      
                 	Frequency	R/Q               	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	1.5966e9 	76.615            	1.8118e8	1   	0.                
   lr(2) =       	3.0614e9 	217.19            	2.398e7 	1   	0.                
   lr(3) =       	3.0763e9 	3821.7000000000003	670590. 	1   	0.                
   lr(4) =       	2.5539e9 	66093.            	4432.2  	1   	0.                
   lr(5) =       	1.7029e9 	52054.            	1594.7  	1   	0.                
   lr(6) =       	1.7369e9 	42408.            	1820.2  	1   	0.                
   lr(7) =       	1.8695e9 	38356.            	1733.   	1   	0.                
   lr(8) =       	1.8552e9 	25605.000000000004	1722.7  	1   	0.                
   lr(9) =       	1.8703e9 	41658.            	951.53  	1   	0.                
   lr(10) =      	1.8712e9 	36949.            	651.19  	1   	0.                
/                
