Cavity #327      
                 	Frequency	R/Q       	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5491e9 	70453.    	6811.7	1   	0.                
   lr(2) =       	3.0732e9 	4162.9    	85532.	1   	0.                
   lr(3) =       	1.7367e9 	44326.    	1873. 	1   	0.                
   lr(4) =       	1.7006e9 	50094.    	1472.8	1   	0.                
   lr(5) =       	1.8683e9 	40927.    	1648. 	1   	0.                
   lr(6) =       	1.8693e9 	44665.    	797.25	1   	0.                
   lr(7) =       	1.8555e9 	23956.    	1412.2	1   	0.                
   lr(8) =       	2.5387e9 	11800.    	3516. 	1   	0.                
   lr(9) =       	1.8701e9 	37540.    	529.27	1   	0.                
   lr(10) =      	1.8816e9 	9155.8    	1559.1	1   	0.                
/                
