Cavity #185      
                 	Frequency	R/Q       	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.074e9  	3897.9    	584980. 	1   	0.                
   lr(2) =       	3.0596e9 	320.85    	5.8218e6	1   	0.                
   lr(3) =       	2.5489e9 	72285.    	5510.4  	1   	0.                
   lr(4) =       	1.7033e9 	50827.    	1503.1  	1   	0.                
   lr(5) =       	1.7374e9 	41786.    	1697.5  	1   	0.                
   lr(6) =       	1.8703e9 	40405.    	1764.5  	1   	0.                
   lr(7) =       	1.855e9  	26057.    	1731.4  	1   	0.                
   lr(8) =       	1.8712e9 	43875.    	875.11  	1   	0.                
   lr(9) =       	2.5397e9 	13818.    	2302.1  	1   	0.                
   lr(10) =      	1.872e9  	38786.    	596.17  	1   	0.                
/                
