Cavity #52       
                 	Frequency	R/Q       	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5507e9 	75565.    	9796. 	1   	0.                
   lr(2) =       	3.0747e9 	3998.3    	90904.	1   	0.                
   lr(3) =       	1.705e9  	51029.    	1635.2	1   	0.                
   lr(4) =       	1.7367e9 	41175.    	1776.2	1   	0.                
   lr(5) =       	1.8694e9 	40290.    	1855.4	1   	0.                
   lr(6) =       	1.8545e9 	25528.    	1543.3	1   	0.                
   lr(7) =       	1.8701e9 	44349.    	863.3 	1   	0.                
   lr(8) =       	1.871e9  	41135.    	649.11	1   	0.                
   lr(9) =       	1.6767e9 	12616.    	750.44	1   	0.                
   lr(10) =      	1.7911e9 	10275.    	937.7 	1   	0.                
/                
