Cavity #236      
                 	Frequency	R/Q              	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5515e9 	80574.99999999999	5625.1	1   	0.                
   lr(2) =       	8.8405e9 	5858.799999999999	82549.	1   	0.                
   lr(3) =       	1.7048e9 	52473.           	1568. 	1   	0.                
   lr(4) =       	1.7399e9 	41491.           	1927. 	1   	0.                
   lr(5) =       	3.0753e9 	3472.4           	37554.	1   	0.                
   lr(6) =       	1.8711e9 	39183.           	1750.3	1   	0.                
   lr(7) =       	1.8562e9 	27651.           	1882.6	1   	0.                
   lr(8) =       	1.8721e9 	43346.           	699.36	1   	0.                
   lr(9) =       	1.8729e9 	38757.           	519.78	1   	0.                
   lr(10) =      	1.7916e9 	11654.           	974.51	1   	0.                
/                
