Cavity #26       
                 	Frequency	R/Q       	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0781e9 	3635.3    	2.8653e6	1   	0.                
   lr(2) =       	3.0645e9 	241.97    	8.2402e6	1   	0.                
   lr(3) =       	5.6176e9 	5235.     	289950. 	1   	0.                
   lr(4) =       	2.5535e9 	77911.    	6892.   	1   	0.                
   lr(5) =       	1.7051e9 	53539.    	1887.7  	1   	0.                
   lr(6) =       	1.7388e9 	43534.    	1786.7  	1   	0.                
   lr(7) =       	1.8708e9 	35796.    	1544.4  	1   	0.                
   lr(8) =       	1.8554e9 	27468.    	1614.7  	1   	0.                
   lr(9) =       	1.8715e9 	38120.    	1054.9  	1   	0.                
   lr(10) =      	1.8724e9 	37788.    	943.36  	1   	0.                
/                
