Cavity #231      
                 	Frequency	R/Q       	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5523e9 	74326.    	6571.8	1   	0.                
   lr(2) =       	3.0767e9 	3724.     	66133.	1   	0.                
   lr(3) =       	1.7031e9 	53452.    	1792. 	1   	0.                
   lr(4) =       	1.7383e9 	43122.    	1829.6	1   	0.                
   lr(5) =       	1.8697e9 	38557.    	1815.1	1   	0.                
   lr(6) =       	1.8541e9 	27172.    	1644.4	1   	0.                
   lr(7) =       	1.8706e9 	41159.    	1049.8	1   	0.                
   lr(8) =       	1.8712e9 	39984.    	880.  	1   	0.                
   lr(9) =       	1.8804e9 	7637.7    	1842.2	1   	0.                
   lr(10) =      	1.6754e9 	11156.    	819.68	1   	0.                
/                
