Cavity #290      
                 	Frequency	R/Q               	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0594e9 	368.66            	2.2518e7	1   	0.                
   lr(2) =       	3.0594e9 	369.07000000000005	2.1433e7	1   	0.                
   lr(3) =       	3.0774e9 	3642.3            	209200. 	1   	0.                
   lr(4) =       	2.5555e9 	60202.            	5324.3  	1   	0.                
   lr(5) =       	1.7029e9 	51462.            	1638.3  	1   	0.                
   lr(6) =       	1.7376e9 	43301.            	1836.9  	1   	0.                
   lr(7) =       	1.8698e9 	38476.            	1638.5  	1   	0.                
   lr(8) =       	1.8558e9 	25029.            	1605.3  	1   	0.                
   lr(9) =       	1.8706e9 	36459.            	1109.3  	1   	0.                
   lr(10) =      	1.8715e9 	40185.00000000001 	699.74  	1   	0.                
/                
