Cavity #247      
                 	Frequency	R/Q       	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0704e9 	1160.2    	2.0454e6	1   	0.                
   lr(2) =       	2.5543e9 	78224.    	8994.4  	1   	0.                
   lr(3) =       	8.8425e9 	5090.     	195690. 	1   	0.                
   lr(4) =       	3.0745e9 	3841.1    	81791.  	1   	0.                
   lr(5) =       	1.7039e9 	51341.    	1705.6  	1   	0.                
   lr(6) =       	1.7379e9 	43959.    	1825.6  	1   	0.                
   lr(7) =       	1.8703e9 	37548.    	1429.7  	1   	0.                
   lr(8) =       	1.8558e9 	25335.    	1552.6  	1   	0.                
   lr(9) =       	1.8712e9 	41547.    	686.33  	1   	0.                
   lr(10) =      	1.8724e9 	39131.    	540.87  	1   	0.                
/                
