Cavity #258      
                 	Frequency	R/Q       	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5548e9 	61724.    	6994.3	1   	0.                
   lr(2) =       	3.0746e9 	3879.3    	77708.	1   	0.                
   lr(3) =       	1.7371e9 	44809.    	1908.2	1   	0.                
   lr(4) =       	1.7023e9 	49566.    	1455.3	1   	0.                
   lr(5) =       	1.8705e9 	39575.    	1643.3	1   	0.                
   lr(6) =       	2.5388e9 	21003.    	3348. 	1   	0.                
   lr(7) =       	1.8565e9 	24985.    	1627.5	1   	0.                
   lr(8) =       	1.8714e9 	42989.    	785.02	1   	0.                
   lr(9) =       	4.6772e9 	11190.    	6506.4	1   	0.                
   lr(10) =      	1.8723e9 	37545.    	553.17	1   	0.                
/                
