Cavity #13       
                 	Frequency	R/Q               	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5535e9 	74716.            	12892. 	1   	0.                
   lr(2) =       	8.8365e9 	7936.1            	110880.	1   	0.                
   lr(3) =       	1.7354e9 	46098.            	1935.8 	1   	0.                
   lr(4) =       	3.0737e9 	3494.2000000000003	44084. 	1   	0.                
   lr(5) =       	1.7017e9 	48830.            	1471.1 	1   	0.                
   lr(6) =       	1.8694e9 	39153.            	1781.9 	1   	0.                
   lr(7) =       	1.8546e9 	25995.            	1574.4 	1   	0.                
   lr(8) =       	1.8703e9 	42596.            	780.16 	1   	0.                
   lr(9) =       	1.8711e9 	38733.            	598.31 	1   	0.                
   lr(10) =      	1.7897e9 	9520.699999999999 	995.06 	1   	0.                
/                
