Cavity #33       
                 	Frequency	R/Q               	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5492e9 	70510.            	9154.1 	1   	0.                
   lr(2) =       	3.0714e9 	4277.599999999999 	102950.	1   	0.                
   lr(3) =       	1.7e9    	51247.99999999999 	1682.7 	1   	0.                
   lr(4) =       	1.7351e9 	42276.99999999999 	2044.7 	1   	0.                
   lr(5) =       	1.8688e9 	41036.            	1394.6 	1   	0.                
   lr(6) =       	1.87e9   	43262.            	826.28 	1   	0.                
   lr(7) =       	2.5377e9 	14636.            	3146.1 	1   	0.                
   lr(8) =       	1.8548e9 	25082.            	1313.1 	1   	0.                
   lr(9) =       	1.8709e9 	37741.            	580.29 	1   	0.                
   lr(10) =      	1.791e9  	10313.000000000002	900.5  	1   	0.                
/                
