&wall_params
 n_wall_pt_max =          263
/
! Note: x_inside should be negative.
! Note: First s_position should be 0.
!
!s_position   x_inside   x_outside
      761.050      -0.049       0.049
      761.078      -0.045       0.045
      761.365      -0.045       0.045
      761.394      -0.049       0.049
      761.409      -0.049       0.049
      761.438      -0.045       0.045
      763.094      -0.045       0.045
      763.123      -0.049       0.049
      763.138      -0.049       0.049
      763.167      -0.045       0.045
      764.824      -0.045       0.045
      764.852      -0.049       0.049
      764.868      -0.049       0.049
      764.897      -0.045       0.045
      764.900      -0.045       0.045
      764.933      -0.049       0.049
      764.934      -0.054       0.054
      764.951      -0.054       0.054
      764.952      -0.049       0.049
      764.993      -0.049       0.049
      765.025      -0.045       0.045
      765.026      -0.045       0.045
      765.817      -0.045       0.045
      765.847      -0.049       0.049
      765.862      -0.049       0.049
      765.890      -0.045       0.045
      767.547      -0.045       0.045
      767.576      -0.049       0.049
      767.591      -0.049       0.049
      767.620      -0.045       0.045
      768.436      -0.045       0.045

