adjust the phase of the first BPM R:HP606 to the same as the value    from MAD output

                 Horz         Vert         Sync.                           
 Tune           ( .452444)   ( .404434)   ( 0      ) 2p                    
 Emittance      ( .114   )   ( .1555  )   ( 0      ) p-mm-mr               
 Decay time     ( 0      )   ( 0      )   ( 0      ) turns                 
 Coupling coef. (        )   (        )                                    
                                                                           
*Plot: [Position ] on [GxPB 2]                                             
 Plane: [Horizontal]                                                       
 Turns from -< 1500>+ for (   39) turns                                    
 From -<R:HP606   >+ for ( 8) BPMs                                         
                                                                           
*Fit TBT phase: from -< 1500>+ for (   30) turns                           
 Reference at turn# ( 1500) with phase (-.37503 )                          
    Average RMS deviation:  .14409 +  .05296                               
                                                                           
BPM           Phase    Ampl.   RMSdev     Beta  bml_psi *Calib Old_Cal     
R:HP118    -0.37907  0.37105    0.148    1.208  0.24590                         
R:HP120    -0.16277  0.32153    0.118    0.907  0.46220                         
R:HP122     0.09695  0.34232    0.147    1.028 -0.27808                         
R:HP124     0.28976  0.32039    0.142    0.900 -0.08527                         
R:HP126    -0.41047  0.31961    0.156    0.896  0.21450                         
R:HP128    -0.21330  0.35169    0.139    1.085  0.41167                         
R:HP130     0.09043  0.33330    0.177    0.974 -0.28460                         
R:HP202     0.28836  0.36297    0.104    1.156 -0.08667                         
R:HP204    -0.43051  0.30569    0.175    0.820  0.19446                         
R:HP206    -0.22394  0.40238    0.105    1.420  0.40103                         
R:HP208     0.05149  0.30124    0.140    0.796 -0.32354                         
R:HP210     0.26215  0.38164    0.068    1.278 -0.11288                         
R:HP212    -0.47706  0.33868    0.156    1.006  0.14791                         
R:HP214    -0.25086  0.37516    0.075    1.235  0.37411                         
R:HP216     0.00968  0.32100    0.177    0.904 -0.36535                         
R:HP218     0.23333  0.30062    0.079    0.793 -0.14170                         
R:HP220    -0.49655  0.31258    0.128    0.857  0.12842                         
