adjust the phase of the first BPM R:VP605 to the phase from MAD output

                 Horz         Vert         Sync.                           
 Tune           ( .45536 )   ( .404434)   ( 0      ) 2p                    
 Emittance      ( .114   )   ( .1555  )   ( 0      ) p-mm-mr               
 Decay time     ( 0      )   ( 0      )   ( 0      ) turns                 
 Coupling coef. (        )   (        )                                    
                                                                           
*Plot: [Position ] on [GxPB 2]                                             
 Plane: [Vertical  ]                                                       
 Turns from -< 1500>+ for (   39) turns                                    
 From -<R:VP607   >+ for ( 8) BPMs                                         
                                                                           
*Fit TBT phase: from -< 1500>+ for (   30) turns                           
 Reference at turn# ( 1500) with phase (-.01401 )                          
    Average RMS deviation:  .05363 +  .04299                               
                                                                           
BPM           Phase    Ampl.   RMSdev     Beta  bml_psi *Calib Old_Cal     
R:VP121    -0.45300  2.35209    0.061   35.578 -0.46701                         
R:VP123    -0.25131  2.05679    0.039   27.205 -0.26532                         
R:VP125    -0.01171  2.15856    0.044   29.964 -0.02572                         
R:VP127     0.19086  2.19863    0.039   31.087  0.17685                         
R:VP129     0.43047  1.99057    0.043   25.481  0.41646                         
R:VP201    -0.36751  2.19800    0.048   31.069 -0.38152                         
R:VP203    -0.12615  2.01359    0.047   26.074 -0.14016                         
R:VP205     0.09202  2.26665    0.055   33.040  0.07801                         
R:VP207     0.31027  1.88514    0.028   22.854  0.29626                         
R:VP209    -0.46293  1.99691    0.050   25.644 -0.47694                         
R:VP211    -0.25250  1.98108    0.045   25.239 -0.26651                         
R:VP213    -0.01970  1.97143    0.038   24.994 -0.03371                         
R:VP215     0.20141  2.11834    0.049   28.858  0.18740                         
R:VP217     0.40961  1.59274    0.034   16.314  0.39560                         
R:VP219    -0.28784  1.92086    0.049   23.728 -0.30185                         
R:VP221    -0.07982  2.13627    0.046   29.348 -0.09383                         
