z(m)	radius(m)
0.	0.01082
0.0033600000000000136	0.018492
0.005889999999999986	0.023915
0.00822	0.028811
0.01094999999999999	0.034919
0.012409999999999997	0.03971
0.013340000000000003	0.047555
0.04899	0.047555
0.04998999999999999	0.012410000000000001
0.0499976562845912	0.012254152746876
0.05002055140415887	0.012099806387994357
0.05005846486618579	0.011948447363165405
0.05011103154330705	0.011801533342539507
0.050177745189686124	0.011660479188446664
0.05025796331643895	0.011526643329498832
0.05035091337915324	0.011401314678179805
0.05045570021791339	0.01128570021791339
0.0505713146781798	0.011180913379153248
0.05069664332949883	0.011087963316438954
0.05083047918844666	0.011007745189686115
0.0509715333425395	0.010941031543307056
0.051118447363165405	0.010888464866185789
0.05126980638799435	0.010850551404158864
0.051424152746876006	0.010827656284591206
0.05158	0.01082
0.05173584725312401	0.010827656284591206
0.05189019361200565	0.010850551404158864
0.0520415526368346	0.010888464866185789
0.0521884666574605	0.010941031543307056
0.052329520811553336	0.011007745189686115
0.05246335667050117	0.011087963316438954
0.05258868532182019	0.011180913379153248
0.05270429978208661	0.01128570021791339
0.052809086620846754	0.011401314678179805
0.052902036683561054	0.011526643329498834
0.05298225481031389	0.011660479188446664
0.05304896845669295	0.011801533342539507
0.05310153513381421	0.011948447363165405
0.05313944859584113	0.012099806387994357
0.053162343715408795	0.012254152746876
0.05317	0.012410000000000001
0.053187	0.01284
0.053313000000000006	0.014018000000000001
0.053618	0.015281000000000001
0.053958	0.016217
0.054514	0.017410000000000002
0.055142	0.018758
0.055733000000000005	0.020035
0.056738000000000004	0.022178
0.057473	0.023753
0.058519999999999996	0.026000000000000002
0.15	0.026000000000000002
